,tweet_id,date,time,name,stage,rating_numerator,rating_denominator
0,892420643555336193,2017-08-01 00:00:00,2017-12-03 16:23:00,Phineas,None ,13.0,10.0
1,892177421306343426,2017-08-01 00:00:00,2017-12-03 00:17:00,Tilly,None ,13.0,10.0
2,891815181378084864,2017-07-31 00:00:00,2017-12-03 00:18:00,Archie,None ,12.0,10.0
3,891689557279858688,2017-07-30 00:00:00,2017-12-03 15:58:00,Darla,None ,13.0,10.0
4,891327558926688256,2017-07-29 00:00:00,2017-12-03 16:00:00,Franklin,None ,12.0,10.0
5,891087950875897856,2017-07-29 00:00:00,2017-12-03 00:08:00,None,None ,13.0,10.0
6,890971913173991426,2017-07-28 00:00:00,2017-12-03 16:27:00,Jax,None ,13.0,10.0
7,890729181411237888,2017-07-28 00:00:00,2017-12-03 00:22:00,None,None ,13.0,10.0
8,890609185150312448,2017-07-27 00:00:00,2017-12-03 16:25:00,Zoey,None ,13.0,10.0
9,890240255349198849,2017-07-26 00:00:00,2017-12-03 15:59:00,Cassie,doggo,14.0,10.0
10,890006608113172480,2017-07-26 00:00:00,2017-12-03 00:31:00,Koda,None ,13.0,10.0
11,889880896479866881,2017-07-25 00:00:00,2017-12-03 16:11:00,Bruno,None ,13.0,10.0
12,889665388333682689,2017-07-25 00:00:00,2017-12-03 01:55:00,None,puppo,13.0,10.0
13,889638837579907072,2017-07-25 00:00:00,2017-12-03 00:10:00,Ted,None ,12.0,10.0
14,889531135344209921,2017-07-24 00:00:00,2017-12-03 17:02:00,Stuart,puppo,13.0,10.0
15,889278841981685760,2017-07-24 00:00:00,2017-12-03 00:19:00,Oliver,None ,13.0,10.0
16,888917238123831296,2017-07-23 00:00:00,2017-12-03 00:22:00,Jim,None ,12.0,10.0
17,888804989199671297,2017-07-22 00:00:00,2017-12-03 16:56:00,Zeke,None ,13.0,10.0
18,888554962724278272,2017-07-22 00:00:00,2017-12-03 00:23:00,Ralphus,None ,13.0,10.0
20,888078434458587136,2017-07-20 00:00:00,2017-12-03 16:49:00,Gerald,None ,12.0,10.0
21,887705289381826560,2017-07-19 00:00:00,2017-12-03 16:06:00,Jeffrey,None ,13.0,10.0
22,887517139158093824,2017-07-19 00:00:00,2017-12-03 03:39:00,None,None ,14.0,10.0
23,887473957103951883,2017-07-19 00:00:00,2017-12-03 00:47:00,Canela,None ,13.0,10.0
