Date,Main Pollutant,Site Name,Site ID, AQI Value
1/1/80,SO2,Magna,49-035-1001,116
1/2/80,SO2,Magna,49-035-1001,194
1/3/80,SO2,Magna,49-035-1001,200
1/4/80,SO2,Magna,49-035-1001,200
1/5/80,CO,UTM COORDINATES = INLET PROBE LOCATION ON ROOF OF BUILDING,49-035-3001,123
1/6/80,SO2,,49-045-0001,116
1/7/80,SO2,Magna,49-035-1001,148
1/8/80,CO,UTM COORDINATES = INLET PROBE LOCATION ON ROOF OF BUILDING,49-035-3001,123
1/9/80,CO,UTM COORDINATES = INLET PROBE LOCATION ON ROOF OF BUILDING,49-035-3001,94
1/10/80,SO2,Magna,49-035-1001,69
1/11/80,SO2,Magna,49-035-1001,116
1/12/80,SO2,Magna,49-035-1001,43
1/13/80,Ozone,UTM COORDINATES = INLET PROBE LOCATION ON ROOF OF BUILDING,49-035-3001,29
1/14/80,SO2,Magna,49-035-1001,103
1/15/80,SO2,Magna,49-035-1001,148
1/16/80,SO2,Magna,49-035-1001,103
1/17/80,SO2,Magna,49-035-1001,161
1/18/80,SO2,Magna,49-035-1001,148
1/19/80,Ozone,UTM COORDINATES = INLET PROBE LOCATION ON ROOF OF BUILDING,49-035-3001,41
1/20/80,SO2,Magna,49-035-1001,125
1/21/80,SO2,Magna,49-035-1001,153
1/22/80,SO2,Magna,49-035-1001,134
1/23/80,SO2,Magna,49-035-1001,116
1/24/80,SO2,Magna,49-035-1001,139
1/25/80,SO2,Magna,49-035-1001,148
1/26/80,SO2,Magna,49-035-1001,116
1/27/80,SO2,Magna,49-035-1001,112
1/28/80,SO2,UTM COORDINATES = INLET PROBE LOCATION ON ROOF OF BUILDING,49-035-3001,94
1/29/80,SO2,Magna,49-035-1001,125
1/30/80,SO2,Magna,49-035-1001,148
1/31/80,SO2,Magna,49-035-1001,148
2/1/80,SO2,Magna,49-035-1001,169
2/2/80,SO2,UTM COORDINATES = INLET PROBE LOCATION ON ROOF OF BUILDING,49-035-3001,148
2/3/80,SO2,Magna,49-035-1001,139
2/4/80,SO2,Magna,49-035-1001,143
2/5/80,SO2,Magna,49-035-1001,200
2/6/80,SO2,Magna,49-035-1001,200
2/7/80,SO2,Magna,49-035-1001,69
2/8/80,SO2,Magna,49-035-1001,148
2/9/80,SO2,Magna,49-035-1001,139
2/10/80,SO2,Magna,49-035-1001,143
2/11/80,SO2,Magna,49-035-1001,125
2/12/80,SO2,Magna,49-035-1001,178
2/13/80,SO2,Magna,49-035-1001,112
2/14/80,SO2,,49-045-0001,56
2/15/80,SO2,,49-045-0001,56
2/16/80,SO2,Magna,49-035-1001,200
2/17/80,SO2,,49-045-0001,56
2/18/80,Ozone,UTM COORDINATES = INLET PROBE LOCATION ON ROOF OF BUILDING,49-035-3001,44
2/19/80,Ozone,UTM COORDINATES = INLET PROBE LOCATION ON ROOF OF BUILDING,49-035-3001,41
2/20/80,SO2,Magna,49-035-1001,103
